Type,Description,Price,TypeId,Pricef
Cervezas Alemanas,ALPIRSBACHER HEIDELBEERE,131,CervezasAlemanas,167.68
Cervezas Alemanas,ALPIRSBACHER KLEINER MONCH,132.81,CervezasAlemanas,170.00
Cervezas Alemanas,ALPIRSBACHER KLEINER MONCH ZIT,131,CervezasAlemanas,167.68
Cervezas Alemanas,ARCOBRAU FESTBIER,234.38,CervezasAlemanas,300.01
Cervezas Alemanas,ARCOBRAU SCHLOSS DUNKEL,222.66,CervezasAlemanas,285.00
Cervezas Alemanas,ARCOBRAU URFASS 33cl,160.16,CervezasAlemanas,205.00
Cervezas Alemanas,ARCOBRAU WEISSBIER DUNKEL,222.66,CervezasAlemanas,285.00
Cervezas Alemanas,ARCOBRAU WEISSBIER HELL,222.66,CervezasAlemanas,285.00
Cervezas Alemanas,ARCOBRAU ZWICKLBIER 33cl,164.06,CervezasAlemanas,210.00
Cervezas Alemanas,ERDINGER BLANCA OKTOBERFEST 50,178,CervezasAlemanas,227.84
Cervezas Alemanas,ERDINGER CHAMP,117.19,CervezasAlemanas,150.00
Cervezas Alemanas,ERDINGER DUNKEL 50 CL,179.69,CervezasAlemanas,230.00
Cervezas Alemanas,ERDINGER KRISTALL,179.69,CervezasAlemanas,230.00
Cervezas Alemanas,ERDINGER PIKANTUS,179.69,CervezasAlemanas,230.00
Cervezas Alemanas,ERDINGER URWEISE,191.41,CervezasAlemanas,245.00
Cervezas Alemanas,ERDINGER WEIBBIER,199.22,CervezasAlemanas,255.00
Cervezas Alemanas,FRANZISKANER DUNKEL,195,CervezasAlemanas,249.60
Cervezas Alemanas,FRANZISKANER WEISSBIER NATURTR,191,CervezasAlemanas,244.48
Cervezas Alemanas,KROMBACHER PILS,171.88,CervezasAlemanas,220.01
Cervezas Alemanas,SCHNEIDER AVENTINUS EISBOCK,324.22,CervezasAlemanas,415.00
Cervezas Alemanas,SCHNEIDER WEISSE TAP 1,187.5,CervezasAlemanas,240.00
Cervezas Alemanas,SCHNEIDER WEISSE TAP 2,199.22,CervezasAlemanas,255.00
Cervezas Alemanas,SCHNEIDER WEISSE TAP 3,148.44,CervezasAlemanas,190.00
Cervezas Alemanas,SCHNEIDER WEISSE TAP 4,234.38,CervezasAlemanas,300.01
Cervezas Alemanas,SCHNEIDER WEISSE TAP 5,218.75,CervezasAlemanas,280.00
Cervezas Alemanas,SCHNEIDER WEISSE TAP 6,218.75,CervezasAlemanas,280.00
Cervezas Alemanas,SCHNEIDER WEISSE TAP 7,199.22,CervezasAlemanas,255.00
Cervezas Alemanas,SCHNEIDER WEISSE TAP X SUMMERW,932,CervezasAlemanas,1192.96
Cervezas Alemanas,WARSTEINER PREMIUM VERUM 33CL,78.12,CervezasAlemanas,99.99
Cervezas Alemanas,WARSTEINER PREMIUM VERUM BARRI,"1,289.06",CervezasAlemanas,1650.00
Cervezas Alemanas,KONIG LUDWING DUNKEL,190.68,CervezasAlemanas,244.07
Cervezas Alemanas,ENGEL BOCK DUNKEL,203.13,CervezasAlemanas,260.01
Cervezas Alemanas,ENGEL GOLD,195.31,CervezasAlemanas,250.00
Cervezas Alemanas,ENGEL BOCK HELL,203.13,CervezasAlemanas,260.01
Cervezas Alemanas,ENGEL DUNKEL,203.13,CervezasAlemanas,260.01
Cervezas Alemanas,FRANZISKANER WEISSBIER,185.7,CervezasAlemanas,237.70
Cervezas Alemanas,FRANZISKANER DUNKEL,185.7,CervezasAlemanas,237.70
Cervezas Alemanas,PAULANER NATURTRUB,187.5,CervezasAlemanas,240.00
Cervezas Alemanas,PAULANER DUNKEL,187.5,CervezasAlemanas,240.00
Cervezas Alemanas,PAULANER SALVATOR,187.5,CervezasAlemanas,240.00
Cervezas Alemanas,PAULANER OKTOBERFEST,187.5,CervezasAlemanas,240.00
Cervezas Americanas,ABITA ABBEY ALE,404.69,CervezasAmericanas,518.00
Cervezas Americanas,ABITA AMBER,144.53,CervezasAmericanas,185.00
Cervezas Americanas,ABITA ANDYGATOR,203.13,CervezasAmericanas,260.01
Cervezas Americanas,ABITA GOLDEN,144.53,CervezasAmericanas,185.00
Cervezas Americanas,ABITA JOCKAMO IPA,156.25,CervezasAmericanas,200.00
Cervezas Americanas,ABITA PURPLE HAZE,148.44,CervezasAmericanas,190.00
Cervezas Americanas,ABITA RESTORATION PALE ALE,148.44,CervezasAmericanas,190.00
Cervezas Americanas,ABITA SAVE OUR SHORE,394.53,CervezasAmericanas,505.00
Cervezas Americanas,ABITA TURBODOG,148.44,CervezasAmericanas,190.00
Cervezas Americanas,BROOKLYN BROWN ALE,212,CervezasAmericanas,271.36
Cervezas Americanas,BROOKLYN LAGER,212,CervezasAmericanas,271.36
Cervezas Americanas,DOGFISH HEAD 60 MINUTES IPA,265.63,CervezasAmericanas,340.01
Cervezas Americanas,DOGFISH HEAD 90 MIN IMPERIAL,359.38,CervezasAmericanas,460.01
Cervezas Americanas,DOGFISH HEAD INDIAN BROWN ALE,253.91,CervezasAmericanas,325.00
Cervezas Americanas,DOGFISH HEAD MIDAS TOUCH,347.66,CervezasAmericanas,445.00
Cervezas Americanas,DOGFISH HEAD MY ANTONIA,"1,102.00",CervezasAmericanas,1410.56
Cervezas Americanas,DOGFISH HEAD NAMASTE,"1,186.00",CervezasAmericanas,1518.08
Cervezas Americanas,DOGFISH HEAD NOBLE ROT,"1,171.88",CervezasAmericanas,1500.01
Cervezas Americanas,DOGFISH HEAD PALO SANTO MARRON,386.72,CervezasAmericanas,495.00
Cervezas Americanas,DOGFISH HEAD PUMKING ALE,271,CervezasAmericanas,346.88
Cervezas Americanas,DOGFISH HEAD RHISING BINES,"1,102.00",CervezasAmericanas,1410.56
Cervezas Americanas,DOGFISH HEAD SAHTEA,"1,102.00",CervezasAmericanas,1410.56
Cervezas Americanas,DOGFISH HEAD SIXTY ONE MIN,288,CervezasAmericanas,368.64
Cervezas Americanas,MONK IN THE TRUNK ORGANIC AMBE,246.09,CervezasAmericanas,315.00
Cervezas Americanas,SAMUEL ADAMS BOSTON LAGER,210.94,CervezasAmericanas,270.00
Cervezas Americanas,SAMUEL ADAMS NOBLE PILS,208,CervezasAmericanas,266.24
Cervezas Americanas,SAMUEL ADAMS OCTOBERFEST,216,CervezasAmericanas,276.48
Cervezas Americanas,SAMUEL ADAMS WINTER LAGER,203,CervezasAmericanas,259.84
Cervezas Americanas,SAMUEL ADAMS WINTER LAGER,254,CervezasAmericanas,325.12
Cervezas Americanas,SIERRA NEVADA CELEBRATION,207.03,CervezasAmericanas,265.00
Cervezas Americanas,SIERRA NEVADA CELEBRATION,258,CervezasAmericanas,330.24
Cervezas Americanas,SIERRA NEVADA KELLERWEISSE,203,CervezasAmericanas,259.84
Cervezas Americanas,SIERRA NEVADA PALE ALE,210.94,CervezasAmericanas,270.00
Cervezas Americanas,SIERRA NEVADA PORTER,199,CervezasAmericanas,254.72
Cervezas Americanas,SIERRA NEVADA TORPEDO,218.75,CervezasAmericanas,280.00
Cervezas Americanas,STONE ARROGANT BASTARD,551,CervezasAmericanas,705.28
Cervezas Americanas,STONE PALE ALE,237,CervezasAmericanas,303.36
Cervezas Americanas,MAGIC HAT #9 PALE ALE,132.81,CervezasAmericanas,170.00
Cervezas Americanas,CLOWN SHOES BROWN ANGEL,453.39,CervezasAmericanas,580.34
Cervezas Americanas,CLOWN SHOES BLAECORN UNIDRAGON,741.53,CervezasAmericanas,949.16
Cervezas Americanas,CLOWN SHOES VAMPIRE SLAYER,648.31,CervezasAmericanas,829.84
Cervezas Americanas,CLOWN SHOES MUFFIN TOP,648.31,CervezasAmericanas,829.84
Cervezas Americanas,CLOWN SHOES GENGHIS PECAN,563.56,CervezasAmericanas,721.36
Cervezas Americanas,CLOWN SHOES CHOCOLAT SOMBRERO,639.83,CervezasAmericanas,818.98
Cervezas Americanas,BRASH BOLLOCKS,656.78,CervezasAmericanas,840.68
